date,first_male,first_female,finishers,helpers,last_updated
2025-11-29,Bernhard FÜHRICHT,Anna LIPP,24,9,2026-04-11 20:55:02.418300
2025-12-06,Klaus DERNDORFER,Mariana RANCZ,21,8,2026-04-11 20:55:02.418300
2025-12-13,Bernhard FÜHRICHT,Bettina PICHLER,21,6,2026-04-11 20:55:02.418300
2025-12-20,Will BROWN,Anna LIPP,34,9,2026-04-11 20:55:02.418300
2025-12-27,Rick RABISER,Eva ORTNER,32,7,2026-04-11 20:55:02.418300
2026-01-01,Christoph MITASCH,Anna LIPP,47,7,2026-04-11 20:55:02.418300
2026-01-03,Rick RABISER,Eva ORTNER,27,8,2026-04-11 20:55:02.418300
2026-01-10,Maximilian BAUMGARTNER,Catherine MATJE,25,7,2026-04-11 20:55:02.418300
2026-01-17,Maximilian BAUMGARTNER,Anna LIPP,26,8,2026-04-11 20:55:02.418300
2026-01-24,Maximilian BAUMGARTNER,Johanna PETERMANDL,36,9,2026-04-11 20:55:02.418300
2026-01-31,Rick RABISER,Sarah SCHOLLER,67,14,2026-04-11 20:55:02.418300
2026-02-07,Mario MÜHLBÖCK,Christiane ALTENDORFER,37,7,2026-04-11 20:55:02.418300
2026-02-14,Rick RABISER,Leopoldine MESSNER,27,6,2026-04-11 20:55:02.418300
2026-02-21,Klaus DERNDORFER,Anna LIPP,26,7,2026-04-11 20:55:02.418300
2026-02-28,Will BROWN,Jutta REISINGER,34,7,2026-04-11 20:55:02.418300
2026-03-07,Josef KRAMBERGER,Rebecca NEWBOULD,46,8,2026-04-11 20:55:02.418300
2026-03-14,Lukas GÄRTNER,Anna LIPP,39,5,2026-04-11 20:55:02.418300
2026-03-21,Rick RABISER,Miroslava BUKOWIECKI,35,8,2026-04-11 20:55:02.418300
2026-03-28,Trung Hieu HOANG,Anna LIPP,30,7,2026-04-11 20:55:02.418300
2026-04-04,Manuel REITHOFER,Anja KEPPLINGER,55,6,2026-04-11 20:55:02.418300
2026-04-11,Sebastian WELLE,Anna LIPP,68,12,2026-04-11 20:55:02.418300
